title;genres;imdb_score;;;;;;;;;;
Forrest Gump;['comedy', 'drama', 'romance'];8.8;;;;;;;;;;
Reservoir Dogs;['thriller', 'crime', 'drama'];8.3;;;;;;;;;;
Gilmore Girls;['comedy', 'drama'];8.2;;;;;;;;;;
Cowboy Bebop;['scifi', 'western', 'action', 'thriller', 'animation', 'comedy', 'drama'];8.9;;;;;;;;;;
Galaxy Quest;['scifi', 'comedy'];7.4;;;;;;;;;;
Neon Genesis Evangelion;['scifi', 'animation', 'action', 'fantasy', 'thriller', 'drama'];8.5;;;;;;;;;;
Jerry Maguire;['drama', 'romance', 'sport', 'comedy'];7.3;;;;;;;;;;
Notting Hill;['romance', 'comedy', 'drama'];7.2;;;;;;;;;;
The Real World;['reality', 'comedy', 'animation', 'documentation', 'drama'];6.3;;;;;;;;;;
Power Rangers;['action', 'scifi', 'family', 'fantasy', 'animation'];6.5;;;;;;;;;;
Big Daddy;['comedy', 'drama', 'european'];6.4;;;;;;;;;;
The Quick and the Dead;['western', 'thriller', 'action', 'romance'];6.5;;;;;;;;;;
Big Brother;['reality'];5.5;;;;;;;;;;
I Know What You Did Last Summer;['horror', 'thriller'];5.7;;;;;;;;;;
The Magic School Bus;['animation', 'comedy', 'family', 'fantasy', 'scifi'];7.8;;;;;;;;;;
Inuyasha;['animation', 'action', 'comedy', 'drama', 'fantasy', 'romance', 'scifi'];7.9;;;;;;;;;;
Kicking and Screaming;['comedy', 'drama', 'romance'];6.7;;;;;;;;;;
Seven Years in Tibet;['drama', 'war', 'history'];7.1;;;;;;;;;;
Yu-Gi-Oh!;['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama'];7.3;;;;;;;;;;
Stepmom;['drama', 'comedy'];6.8;;;;;;;;;;
The Mask of Zorro;['action', 'comedy', 'romance', 'thriller', 'western'];6.8;;;;;;;;;;
Life;['comedy', 'crime', 'drama'];6.8;;;;;;;;;;
Neon Genesis Evangelion: The End of Evangelion;['drama', 'animation', 'action', 'scifi', 'fantasy'];8.1;;;;;;;;;;
Adventures of Sonic the Hedgehog;['scifi', 'action', 'comedy', 'western', 'family', 'animation', 'fantasy'];6.2;;;;;;;;;;
My Girl;['drama', 'comedy', 'family', 'romance', 'european'];6.9;;;;;;;;;;
Kenan & Kel;['family', 'comedy'];7.8;;;;;;;;;;
One Last Shot;[];;;;;;;;;;;
Girlfriends;['drama', 'comedy'];7.4;;;;;;;;;;
H;;;;;;;;;;;;
;;;;;;;;;;;;
" Histoire et Hôpital.""";4.0;5.473;;;;;;;;;;
Jerry Seinfeld: I'm Telling You for the Last Time;['comedy', 'documentation'];7.8;;;;;;;;;;
The Last Days;['drama', 'documentation', 'war'];7.9;;;;;;;;;;
Croupier;['thriller', 'drama', 'european', 'crime'];7.0;;;;;;;;;;
Heavy;['drama', 'romance'];6.8;;;;;;;;;;
All That;['comedy', 'family', 'music'];7.5;;;;;;;;;;
The Nutty Professor;['romance', 'comedy', 'scifi'];5.7;;;;;;;;;;
Heartbreak High;['drama', 'romance'];7.8;;;;;;;;;;
Evangelion: Death (True)²;['animation', 'scifi', 'action', 'drama'];;;;;;;;;;;
The Wiggles;['family', 'fantasy', 'music', 'comedy', 'european'];8.0;;;;;;;;;;
Edge of Seventeen;['romance', 'comedy', 'drama'];6.8;;;;;;;;;;
Cardcaptor Sakura;['scifi', 'action', 'comedy', 'drama', 'family', 'fantasy', 'romance', 'animation'];8.0;;;;;;;;;;
Okupas;['drama', 'crime'];9.0;;;;;;;;;;
Sankofa;['drama', 'european'];7.0;;;;;;;;;;
A Chinese Odyssey Part One: Pandora's Box;['action', 'comedy', 'fantasy', 'drama', 'romance'];7.5;;;;;;;;;;
The Parkers;['comedy'];6.9;;;;;;;;;;
Moesha;['drama', 'family', 'comedy'];5.8;;;;;;;;;;
Sister, Sister;['comedy', 'drama', 'family'];6.3;;;;;;;;;;
Before the Flying Circus;['comedy', 'documentation'];7.3;;;;;;;;;;
Maya Memsaab;['drama', 'romance'];5.4;;;;;;;;;;
Dil Se..;['drama', 'romance'];7.5;;;;;;;;;;
Herod's Law;['comedy', 'crime', 'drama'];7.8;;;;;;;;;;
A Chinese Odyssey Part Two: Cinderella;['action', 'fantasy', 'comedy', 'romance'];7.8;;;;;;;;;;
Blue Streak;['comedy', 'crime', 'thriller', 'action'];6.3;;;;;;;;;;
Kabhi Haan Kabhi Naa;['romance', 'drama', 'comedy', 'music'];7.7;;;;;;;;;;
Bombay;['drama', 'romance'];8.1;;;;;;;;;;
Phir Bhi Dil Hai Hindustani;['comedy', 'drama', 'romance'];6.1;;;;;;;;;;
Chaahat;['drama', 'romance'];5.5;;;;;;;;;;
Nutty Professor II: The Klumps;['romance', 'scifi', 'comedy'];4.4;;;;;;;;;;
Hum Aapke Hain Koun..!;['drama', 'comedy', 'romance'];7.5;;;;;;;;;;
Wild Tango;['drama', 'music', 'romance'];6.7;;;;;;;;;;
Kuch Kuch Hota Hai;['drama', 'romance', 'comedy'];7.5;;;;;;;;;;
Yaar Gaddar;['crime', 'action', 'drama'];3.7;;;;;;;;;;
Barney & Friends;['comedy', 'family'];3.9;;;;;;;;;;
The Other;['drama', 'romance', 'european'];5.9;;;;;;;;;;
Chamatkar;['comedy', 'drama', 'fantasy', 'crime'];6.5;;;;;;;;;;
Mann;['drama', 'romance'];6.1;;;;;;;;;;
Chronicle of a Disappearance;['drama'];6.9;;;;;;;;;;
Oh Darling! Yeh Hai India!;['comedy'];4.0;;;;;;;;;;
My First Errand;['reality'];;;;;;;;;;;
Escalona;['drama'];;;;;;;;;;;
Duplicate;['comedy', 'action', 'crime', 'romance', 'thriller'];5.5;;;;;;;;;;
Muthu;['comedy', 'drama', 'romance', 'action'];7.6;;;;;;;;;;
Hum Saath Saath Hain;['romance', 'family', 'drama'];6.3;;;;;;;;;;
Ram Jaane;['crime', 'action', 'drama', 'romance'];5.4;;;;;;;;;;
Anjaam;['drama', 'thriller', 'romance', 'crime'];6.6;;;;;;;;;;
English Babu Desi Mem;['romance', 'comedy', 'drama'];4.6;;;;;;;;;;
Destiny;['drama', 'history', 'romance', 'comedy'];7.2;;;;;;;;;;
Avvai Shanmugi;['drama', 'comedy'];7.9;;;;;;;;;;
Hello Brother;['romance', 'comedy', 'action', 'fantasy'];4.6;;;;;;;;;;
Sinbad: Afros and Bellbottoms;['comedy', 'documentation'];7.7;;;;;;;;;;
Damini;['drama', 'crime'];7.8;;;;;;;;;;
Monty Python: Live at Aspen;['comedy', 'documentation'];7.8;;;;;;;;;;
Jeans;['comedy', 'drama', 'romance'];6.4;;;;;;;;;;
West Beirut;;;;;;;;;;;;
Gumrah;['crime', 'drama', 'thriller', 'action'];6.1;;;;;;;;;;
Shikari;['drama', 'action'];5.8;;;;;;;;;;
Out of Life;['drama', 'crime', 'war', 'european'];6.9;;;;;;;;;;
Have You Ever Seen Fireflies? - Theatre Play;['comedy', 'drama'];;;;;;;;;;;
Yodha;['drama', 'action'];4.5;;;;;;;;;;
Minsara Kanavu;['comedy', 'drama', 'romance'];6.7;;;;;;;;;;
Dushmani;;;;;;;;;;;;
Children of Shatila;['documentation', 'history'];7.7;;;;;;;;;;
Sinbad: Nothin' but the Funk;['comedy', 'documentation'];6.4;;;;;;;;;;
The Emigrant;['drama'];6.5;;;;;;;;;;
A Triumph of the Heart: The Ricky Bell Story;['drama', 'sport'];7.2;;;;;;;;;;
Aashik Aawara;['romance', 'comedy', 'drama'];4.8;;;;;;;;;;
The Trial of Adolf Eichmann;['documentation'];7.4;;;;;;;;;;
Qila;['drama', 'family', 'music'];4.9;;;;;;;;;;
Nightmare in Columbia County;['drama', 'crime', 'thriller'];5.5;;;;;;;;;;
Sinbad: Son of a Preacher Man;['comedy', 'documentation'];6.8;;;;;;;;;;
Breaking Bad;['drama', 'comedy', 'crime', 'thriller'];9.5;;;;;;;;;;
The Walking Dead;['action', 'drama', 'horror', 'thriller'];8.1;;;;;;;;;;
Grey's Anatomy;['drama', 'romance'];7.6;;;;;;;;;;
Arrested Development;['comedy'];8.7;;;;;;;;;;
Community;['comedy'];8.5;;;;;;;;;;
NCIS;['thriller', 'comedy', 'action', 'crime', 'drama'];7.7;;;;;;;;;;
Avatar: The Last Airbender;['animation', 'action', 'family', 'fantasy'];9.3;;;;;;;;;;
Supernatural;['drama', 'scifi', 'thriller', 'fantasy', 'horror'];8.4;;;;;;;;;;
